loss: 0.0022, recon: 0.0022, kl: 3523.2021
loss: 0.0020, recon: 0.0020, kl: 3490.9204
loss: 0.0020, recon: 0.0020, kl: 3517.0361
epoch: 92, lr: 0.000005, loss: 0.0020
loss: 0.0021, recon: 0.0021, kl: 3543.0312
loss: 0.0019, recon: 0.0019, kl: 3526.5752
loss: 0.0019, recon: 0.0019, kl: 3507.4443
loss: 0.0019, recon: 0.0019, kl: 3521.2983
epoch: 93, lr: 0.000005, loss: 0.0020
loss: 0.0019, recon: 0.0019, kl: 3538.9214
loss: 0.0021, recon: 0.0021, kl: 3527.9941
loss: 0.0020, recon: 0.0020, kl: 3513.0732
loss: 0.0018, recon: 0.0018, kl: 3531.7461
epoch: 94, lr: 0.000005, loss: 0.0022
loss: 0.0019, recon: 0.0019, kl: 3528.9199
loss: 0.0022, recon: 0.0022, kl: 3535.8716
loss: 0.0019, recon: 0.0019, kl: 3529.4697
loss: 0.0020, recon: 0.0020, kl: 3559.1406
loss: 0.0018, recon: 0.0018, kl: 3547.1177
epoch: 95, lr: 0.000005, loss: 0.0020
loss: 0.0019, recon: 0.0019, kl: 3553.6575
loss: 0.0020, recon: 0.0020, kl: 3533.9050
loss: 0.0019, recon: 0.0019, kl: 3553.1187
loss: 0.0019, recon: 0.0019, kl: 3538.9834
epoch: 96, lr: 0.000005, loss: 0.0020
loss: 0.0020, recon: 0.0020, kl: 3532.7026
loss: 0.0021, recon: 0.0021, kl: 3569.0835
loss: 0.0018, recon: 0.0018, kl: 3538.0967
loss: 0.0017, recon: 0.0017, kl: 3567.4058
epoch: 97, lr: 0.000005, loss: 0.0021
loss: 0.0019, recon: 0.0019, kl: 3587.1709
loss: 0.0019, recon: 0.0019, kl: 3555.5283
loss: 0.0019, recon: 0.0019, kl: 3567.8677
loss: 0.0019, recon: 0.0019, kl: 3530.5098
epoch: 98, lr: 0.000005, loss: 0.0020
loss: 0.0020, recon: 0.0020, kl: 3599.8733
loss: 0.0018, recon: 0.0018, kl: 3597.5293
loss: 0.0018, recon: 0.0018, kl: 3598.5901
loss: 0.0018, recon: 0.0018, kl: 3585.5117
epoch: 99, lr: 0.000005, loss: 0.0018
